UA_Name,UA_Country,UA_Continent,Venture Capital,Business Freedom,Economy,Taxation,Macroeconomic Overall,Internet Access,Leisure & Culture,Outdoors,Tolerance,Recreational Overall,Housing,Cost of Living,Safety,Environmental Quality,Residential Overall,Overall Rating
Raleigh,United States,North America,5.157,8.671,6.514,4.062,6.101,7.952,6.613,3.391,7.562,6.3795,6.129,5.61,6.522,8.584,6.71125,6.39725
Cincinnati,United States,North America,2.709,8.671,6.514,3.92,5.4535,6.512,6.118,3.608,5.299,5.38425,6.678,6.108,4.975,7.11,6.21775,5.685166667
Nice, France,Europe,2.603,8.088,4.204,2.648,4.38575,6.472,4.78,5.526,6.467,5.81125,6.498,4.475,7.234,6.423,6.1575,5.4515
Nicosia, Cyprus,Europe,0,7.439,2.996,7.508,4.48575,2.654,6.949,1.776,7.506,4.72125,8.631,6.301,8.103,3.672,6.67675,5.294583333
Cleveland,United States,North America,3.646,8.671,6.514,3.92,5.68775,5.477,5.697,4.669,4.775,5.1545,7.156,5.595,3.637,7.25,5.9095,5.583916667
Columbus,United States,North America,4.973,8.671,6.514,3.92,6.0195,4.554,6.466,4.545,5.922,5.37175,6.29,5.746,5.282,8.166,6.371,5.92075
Oklahoma City,United States,North America,0,8.671,6.514,4.204,4.84725,7.689,5.376,4.129,6.022,5.804,7.261,6.394,4.686,7.615,6.489,5.713416667
Osaka, Japan,Asia,2.144,8.418,3.724,6.033,5.07975,3.724,7.226,5.188,7.19,5.832,7.832,4.819,10,5.327,6.9945,5.96875
Oslo, Norway,Europe,3.869,9.635,7.074,4.752,6.3325,7.97,5.899,6.19,7.03,6.77225,3.768,1.038,7.107,8.424,5.08425,6.063
Ottawa, Canada,North America,2.612,8.966,5.841,7.275,6.1735,6.267,6.092,5.318,8.63,6.57675,6.7,6.027,8.448,9.292,7.61675,6.789
Oulu, Finland,Europe,2.575,9.451,3.921,4.878,5.20625,5.723,2.006,5.072,8.329,5.2825,3.744,0,8.459,8.933,5.284,5.257583333
Oxford, United Kingdom,Europe,3.843,8.992,5.438,5.954,6.05675,6.155,5.495,2.629,8.258,5.63425,3.65,4.941,8.568,7.554,6.17825,5.956416667
Eugene,United States,North America,1.964,8.671,6.514,3.92,5.26725,4.756,2.956,3.533,8.97,5.05375,6.713,5.021,6.172,8.231,6.53425,5.618416667
Panama, Panama,North America,0,6.209,6.041,6.948,4.7995,3.19,5.556,4.82,6.786,5.088,3.153,0,6.976,4.384,3.62825,4.50525
Paris, France,Europe,7.513,8.088,4.204,2.648,5.61325,9.716,9.816,4.433,5.579,7.386,3.584,3.664,6.246,4.362,4.464,5.821083333
Perth, Australia,Oceania,3.102,9.4,6.07,4.588,5.79,4.178,4.512,5.684,7.471,5.46125,5.233,4.795,7.104,8.133,6.31625,5.855833333
Portland,United States,North America,5.899,8.671,6.514,3.92,6.251,5.969,6.22,6.304,8.159,6.663,4.138,4.924,5.18,8.46,5.6755,6.1965
Phnom Penh, Cambodia,Asia,0,1,5.38,7.984,3.591,3.395,5.407,3.433,6.031,4.5665,8.552,8.001,6.684,2.448,6.42125,4.859583333
Philadelphia,United States,North America,5.216,8.671,6.514,3.778,6.04475,7.443,8.492,4.115,5.865,6.47875,4.207,4.422,3.133,5.124,4.2215,5.581666667
Phuket, Thailand,Asia,0,5.604,2.387,6.795,3.6965,3.615,4.814,4.626,5.156,4.55275,8.823,7.602,5.728,3.624,6.44425,4.897833333
Pittsburgh,United States,North America,3.581,8.671,6.514,3.778,5.636,8.67,6.859,4.068,7.39,6.74675,5.964,4.795,4.791,6.874,5.606,5.99625
San Juan,United States,North America,0,3.173,0,4.397,1.8925,4.273,6.84,5.324,3.66,5.02425,7.428,5.98,5.121,4.493,5.7555,4.224083333
Providence,United States,North America,1,8.671,6.514,4.204,5.09725,8.934,3.919,1.084,7.49,5.35675,3.153,0,6.846,5.9,3.97475,4.809583333
Porto, Portugal,Europe,1.886,8.239,3.483,4.158,4.4415,4.494,5.625,5.948,9.574,6.41025,8.11,7.422,7.705,7.039,7.569,6.14025
Porto Alegre, Brazil,South America,0,2.781,2.187,2.852,1.955,2.196,7.704,4.922,7.448,5.5675,9.221,8.12,5.296,4.14,6.69425,4.738916667
Prague, Czechia,Europe,2.302,6.213,4.378,5.934,4.70675,6.09,8.465,4.901,8.198,6.9135,7.43,7.569,8.66,7.014,7.66825,6.4295
Charleston,United States,North America,2.011,8.671,6.514,4.062,5.3145,6.093,6.595,5.01,5.771,5.86725,4.637,3.567,5.056,7.276,5.134,5.438583333
Quebec, Canada,Europe,2.237,8.966,5.841,7.275,6.07975,3.298,5.637,4.719,8.622,5.569,8.518,6.037,9.16,7.316,7.75775,6.468833333
Quito, Ecuador,South America,0,3.021,3.886,7.514,3.60525,3.482,4.802,5.5,8.826,5.6525,9.016,7.822,6.969,4.176,6.99575,5.417833333
Chattanooga,United States,North America,2.228,8.671,6.514,4.772,5.54625,8.365,4.162,3.908,4.792,5.30675,6.782,6.121,4.468,7.152,6.13075,5.66125
Reykjavik, Iceland,Europe,2.875,9.36,5.283,4.466,5.496,6.742,5.02,4.804,9.565,6.53275,2.772,1,8.658,8.624,5.2635,5.764083333
Knoxville,United States,North America,0,8.671,6.514,4.772,4.98925,7.092,4.496,1.752,5.402,4.6855,6.975,6.447,5.13,3.723,5.56875,5.081166667
Riga, Latvia,Europe,1.358,7.363,4.095,5.929,4.68625,5.841,7.706,5.526,6.884,6.48925,8.933,7.329,7.626,6.966,7.7135,6.296333333
Rio De Janeiro, Brazil,South America,2.414,4.037,2.187,2.845,2.87075,2.338,8.668,6.152,5.772,5.7325,8.32,7.751,5.296,3.323,6.1725,4.92525
Riyadh, Saudi Arabia,Asia,2.022,6.104,7.042,10,6.292,4.13,5.844,0.5,2.909,3.34575,8.696,7.806,7.583,3.351,6.859,5.498916667
Memphis,United States,North America,0,8.671,6.514,4.772,4.98925,6.07,6.86,3.57,4.041,5.13525,7.115,5.829,2.859,4.545,5.087,5.0705
Rome, Italy,Europe,1.013,6.19,3.362,2.436,3.25025,4.491,9.11,6.396,6.222,6.55475,5.602,5.323,6.605,4.276,5.4515,5.0855
Rotterdam, Netherlands,Europe,2.83,8.837,5.053,4.955,5.41875,5.853,5.427,4.281,8.28,5.96025,6.044,4.934,8.268,7.087,6.58325,5.987416667
Saint Petersburg, Russia,Europe,0,5.547,3.148,6.044,3.68475,5.642,9.654,5.385,4.338,6.25475,8.36,8.673,7.793,4.324,7.2875,5.742333333
Nashville,United States,North America,3.569,8.671,6.514,4.772,5.8815,6.637,7.02,1.274,6.808,5.43475,4.454,5.742,5.078,7.056,5.5825,5.632916667
Austin,United States,North America,6.939,8.671,6.514,4.772,6.724,9.049,6.698,3.909,6.79,6.6115,4.334,5.355,5.069,7.031,5.44725,6.260916667
Dallas,United States,North America,4.916,8.671,6.514,4.772,6.21825,6.461,7.168,4.502,5.294,5.85625,5.259,6.091,4.339,6.693,5.5955,5.89
Houston,United States,North America,4.474,8.671,6.514,4.772,6.10775,6.248,7.144,5.386,5.34,6.0295,5.225,6.162,3.129,5.305,4.95525,5.6975
San Jose, Costa Rica,North America,0,5.95,4.081,5.752,3.94575,1.516,6.867,2.786,8.939,5.027,8.164,6.728,6.709,5.256,6.71425,5.229
San Antonio,United States,North America,3.53,8.671,6.514,4.772,5.87175,8.074,6.696,3.419,6.254,6.11075,6.402,6.683,4.216,6.201,5.8755,5.952666667
Salt Lake City,United States,North America,7.09,8.671,6.514,4.204,6.61975,6.811,5.932,6.641,8.622,7.0015,6.141,6.172,5.657,6.216,6.0465,6.555916667
San Salvador, El Salvador,North America,0,4.661,2.659,5.526,3.2115,1.831,4.858,1.918,6.128,3.68375,8.802,7.743,5.402,1.001,5.737,4.21075
Santiago, Chile,South America,1,7.765,3.725,8.93,5.355,1,7.556,5.5,7.172,5.307,8.382,7.237,6.964,4.528,6.77775,5.81325
Santo Domingo, Dominican Republic,North America,0,4.413,6.114,5.768,4.07375,4.221,5.797,3.418,5.11,4.6365,9.289,8.076,5.779,2.38,6.381,5.030416667
Sao Paulo, Brazil,South America,4.253,2.781,2.187,2.852,3.01825,3.39,8.789,7.078,6.896,6.53825,8.316,7.823,5.296,2.654,6.02225,5.192916667
Sarajevo, Bosnia and Herzegovina,Europe,0,2.58,2.088,9.118,3.4465,4.648,5.934,2.871,7.736,5.29725,9.692,8.659,7.133,3.666,7.2875,5.34375
Saskatoon, Canada,North America,0,8.966,5.841,7.275,5.5205,4.89,1,0.5,7.336,3.4315,7.16,5.042,6.638,7.758,6.6495,5.2005
Richmond,United States,North America,2.097,8.671,6.514,4.204,5.3715,7.645,6.338,1.035,7.151,5.54225,6.44,5.949,3.376,6.622,5.59675,5.5035
Seoul, South Korea,Asia,4.066,8.279,5.561,6.608,6.1285,7.637,8.2,5.776,4.484,6.52425,6.143,3.698,8.305,6.787,6.23325,6.295333333
Seville, Spain,Europe,0,7.12,4.296,3.894,3.8275,6.19,7.416,3.033,9.265,6.476,8.096,6.961,8.93,7.221,7.802,6.035166667
Shanghai, China,Asia,9.288,3.896,6.103,1.496,5.19575,2.636,6.693,5.717,2.741,4.44675,5.744,7.179,7.208,2.839,5.7425,5.128333333
Singapore, Singapore,Asia,8.697,9.725,7.479,9.959,8.965,8.447,7.422,5.834,6.495,7.0495,1.745,3.489,9.972,7.954,5.79,7.268166667
Skopje, Macedonia,Europe,0,6.882,4.123,9.475,5.12,4.52,6.208,3.302,4.29,4.58,9.741,9.11,7.28,2.649,7.195,5.631666667
Sofia, Bulgaria,Europe,3.155,5.295,3.25,8.721,5.10525,6.273,5.318,4.056,6.741,5.597,9.306,8.55,7.55,4.999,7.60125,6.101166667
Seattle,United States,North America,7.551,8.671,6.514,4.772,6.877,4.94,8.116,7.209,8.089,7.0885,2.291,3.79,5.636,7.56,4.81925,6.261583333
Stockholm, Sweden,Europe,6.229,9.569,5.694,2.75,6.0605,7.614,6.797,4.494,5.72,6.15625,4.865,4.36,6.886,8.992,6.27575,6.164166667
Stuttgart, Germany,Europe,1.936,9.072,5.374,3.904,5.0715,5.124,5.556,3.95,7.533,5.54075,6.314,5.673,8.27,7.225,6.8705,5.827583333
Sydney, Australia,Oceania,6.427,9.4,6.07,4.588,6.62125,4.736,6.228,6.264,7.033,6.06525,1.986,4.128,7.571,7.817,5.3755,6.020666667
Taipei, Taiwan,Asia,2.781,8.342,6.636,7.333,6.273,5.232,7.264,5.588,8.044,6.532,7.977,5.644,9.542,6.236,7.34975,6.71825
Tallinn, Estonia,Europe,5.829,8.129,4.185,5.341,5.871,5.202,7.024,4.536,7.839,6.15025,8.377,6.931,9.426,7.826,8.14,6.720416667
Madison,United States,North America,2.913,8.671,6.514,4.204,5.5755,4.992,4.422,4.376,7.9,5.4225,5.83,6.173,7.362,9.524,7.22225,6.073416667
Tampere, Finland,Europe,2.549,9.451,3.921,4.878,5.19975,5.792,4.187,4.571,8.291,5.71025,6.936,4.622,8.689,8.922,7.29225,6.067416667
Tartu, Estonia,Europe,0,8.129,4.185,5.341,4.41375,4.3,4.081,3.499,7.483,4.84075,8.961,7.47,9.376,9.416,8.80575,6.020083333
Tashkent, Uzbekistan,Asia,0,5.175,5.538,6.014,4.18175,1.243,3.176,4.242,6.17,3.70775,5,0,8.904,6.555,5.11475,4.33475
Tbilisi, Georgia,Europe,0,7.863,4.252,8.055,5.0425,4.087,4.919,5.478,8.197,5.67025,9.49,9.765,9.506,3.197,7.9895,6.234083333
Tehran, Iran,Asia,0,4.343,3.944,4.052,3.08475,1.576,6.521,5.5,4.222,4.45475,8.303,9.544,6.793,2.942,6.8955,4.811666667
Tel Aviv, Israel,Asia,9.16,6.79,5.026,6.918,6.9735,2.566,5.334,5.412,5.516,4.707,4.91,4.37,8.007,6.027,5.8285,5.836333333
The Hague, Netherlands,Europe,1.107,8.837,5.053,4.955,4.988,6.514,5.014,4.924,8.553,6.25125,6.053,4.653,8.789,8.284,6.94475,6.061333333
Thessaloniki, Greece,Europe,0,6.169,3.32,4.166,3.41375,2.596,7.689,4.665,7.523,5.61825,9.378,6.6,7.992,3.338,6.827,5.286333333
Tokyo, Japan,Asia,3.963,8.378,3.724,6.033,5.5245,4.835,9.342,6.522,7.195,6.9735,5.657,3.431,10,5.956,6.261,6.253
Toronto, Canada,North America,7.602,8.966,5.841,7.275,7.421,4.383,7.826,5.594,7.928,6.43275,4.66,5.271,7.694,7.178,6.20075,6.684833333
Toulouse, France,Europe,2.042,8.088,4.204,2.648,4.2455,4.622,4.137,3.304,7.634,4.92425,7.544,4.552,6.967,5.08,6.03575,5.0685
Tunis, Tunisia,Africa,0,6.622,3.092,2.599,3.07825,1.072,5.743,5.366,4.727,4.227,9.968,9.998,8.292,3.28,7.8845,5.06325
Turin, Italy,Europe,0,6.19,3.362,2.436,2.997,2.369,7.061,5.705,5.777,5.228,8.07,5.612,6.252,3.886,5.955,4.726666667
Turku, Finland,Europe,1.773,9.451,3.921,4.878,5.00575,6.682,5.098,4.538,7.751,6.01725,7.534,5.07,9.176,9.105,7.72125,6.248083333
Uppsala, Sweden,Europe,0,9.569,5.694,2.75,4.50325,5.854,3.427,3.466,6.951,4.9245,7.16,5.442,7.85,8.582,7.2585,5.562083333
Utrecht, Netherlands,Europe,1.929,8.837,5.053,4.955,5.1935,6.676,5.373,4.696,8.566,6.32775,5.466,4.604,8.631,8.095,6.699,6.073416667
Valencia, Spain,Europe,2.583,7.12,4.296,3.894,4.47325,9.14,7.078,6.332,7.935,7.62125,8.136,6.872,7.786,5.942,7.184,6.426166667
Valletta, Malta,Europe,2.148,5.377,5.54,5.783,4.712,3.202,5.827,4.717,7.563,5.32725,3.153,0,8.518,3.776,3.86175,4.633666667
Vancouver, Canada,North America,5.842,8.966,5.841,7.275,6.981,4.551,5.717,7.4,8.295,6.49075,4.081,5.259,7.57,8.423,6.33325,6.601666667
Victoria, Canada,North America,2.719,8.966,5.841,7.275,6.20025,6.195,4.523,4.356,8.782,5.964,5.696,5.703,7.808,9.295,7.1255,6.429916667
Vienna, Austria,Europe,3.635,7.596,4.663,2.666,4.64,6.173,8.522,5.294,8.964,7.23825,6.314,5.111,8.596,9.27,7.32275,6.400333333
Vilnius, Lithuania,Europe,2.828,7.6,4.691,6.592,5.42775,7.926,5.199,4.106,7.393,6.156,8.621,7.576,8.857,8.718,8.443,6.675583333
Warsaw, Poland,Europe,1.853,5.704,4.762,5.097,4.354,6,7.336,4.961,4.636,5.73325,7.87,8.192,8.7,6.389,7.78775,5.958333333
Milwaukee,United States,North America,2.005,8.671,6.514,4.204,5.3485,4.346,6.838,5.064,4.844,5.273,6.122,5.526,4.267,7.989,5.976,5.5325
Wellington, New Zealand,Oceania,1.753,10,5.506,5.932,5.79775,5.174,4.599,6.397,8.116,6.0715,5.134,5.161,8.223,9.609,7.03175,6.300333333
Winnipeg, Canada,North America,0,8.966,5.841,7.275,5.5205,4.903,4.688,4.243,6.659,5.12325,7.553,5.882,6.016,5.675,6.2815,5.64175
Wroclaw, Poland,Europe,2.386,5.704,4.762,5.097,4.48725,5.762,4.75,4.085,3.904,4.62525,8.452,8.434,8.166,4.965,7.50425,5.538916667
Yerevan, Armenia,Asia,0,6.501,3.458,8.055,4.5035,3.9,4.737,7.776,7.347,5.94,9.694,9.431,8.873,4.44,8.1095,6.184333333
Zagreb, Croatia,Europe,1.775,5.72,2.236,7.993,4.431,5.034,4.994,4.809,7.955,5.698,8.91,7.194,8.658,7.332,8.0235,6.050833333
Zurich, Switzerland,Europe,3.872,8.888,6.552,6.429,6.43525,7.268,4.966,5.401,8.784,6.60475,1.473,1,9.066,8.643,5.0455,6.0285
